customer_id,region,age,num_site_visits,num_products_viewed,purchase_made,satisfaction_rating,customer_segment,preferred_channel,income,avg_spend_per_visit,discount_used,time_on_site_min,page_load_time_sec,browser,email_open_rate,clicked_ad,returned_product,membership_years,zipcode,tracking_cookie
1,Ancash,14.0,5,11,Yes,Unsatisfied,Occasional,Email,1815.52,131.68,Yes,13.3,2.35,Firfox,0.68,1,Yes,4,11001,XYZ123
2,Piura,24.0,6,15,No,Satisfied,New,Phone,3036.29,205.09,Yes,4.6,2.34,Firefox,0.13,0,No,0,04001,XYZ123
3,piura ,16.0,5,12,No,Very Unsatisfied,Occasional,In-store,3020.66,192.03,Yes,13.7,2.87,Firefox,0.86,1,No,5,02001,XYZ123
4,lima,31.0,4,7,No,Satisfied,Returning,Email,3569.71,154.29,Yes,5.1,4.49,Edge,0.25,1,No,5,13001,XYZ123
5,La Libertad,35.0,4,7,No,Unsatisfied,Loyal,Email,2352.62,261.8,Yes,8.1,0.9,Safari,0.36,1,No,3,13001,XYZ123
6,Ancash,51.0,5,9,No,Neutral,Loyal,SMS,3555.23,135.55,Yes,3.2,2.33,Chrome,0.63,1,No,4,11001,XYZ123
7,CUSCO,38.0,7,7,No,Very Unsatisfied,Returning,In-store,2948.76,194.61,Yes,10.0,3.49,Edge,0.0,1,No,4,11001,XYZ123
8,Arequipa,32.0,5,8,No,Unsatisfied,Occasional,Phone,3411.43,,Yes,8.5,3.36,Edge,0.47,0,Yes,3,04001,XYZ123
9,Ancash,43.0,4,8,No,Neutral,Loyal,In-store,4415.33,215.45,No,11.0,2.49,Firefox,0.89,0,No,1,04001,XYZ123
10,piura ,12.0,8,9,No,Very Satisfied,New,Email,2401.42,256.53,Yes,1.1,2.7,IE,0.68,1,Yes,5,13001,XYZ123
11,piura ,37.0,5,12,No,Unsatisfied,Occasional,Phone,2636.65,188.0,No,8.5,3.4,IE,0.39,1,No,1,13001,XYZ123
12,lima,42.0,7,15,No,Very Satisfied,Loyal,Email,2210.55,69.83,Yes,9.6,2.51,Safari,0.66,1,No,3,15001,XYZ123
13,La Libertad,20.0,8,9,No,Satisfied,Returning,SMS,3733.85,180.66,Yes,4.0,1.72,Safari,0.94,1,Yes,3,13001,XYZ123
14,Piura,46.0,7,7,No,Very Satisfied,Occasional,In-store,4583.72,236.28,No,10.1,2.78,Edge,0.19,0,No,4,13001,XYZ123
15,lima,38.0,5,9,No,Unsatisfied,Loyal,Email,3087.33,192.79,Yes,1.2,3.23,Safari,0.53,1,No,6,11001,XYZ123
16,lima,30.0,8,7,No,Very Satisfied,Returning,Email,,193.16,No,7.5,0.45,IE,0.23,0,Yes,1,15001,XYZ123
17,Arequipa,41.0,4,13,Yes,Very Unsatisfied,Occasional,In-store,1793.51,226.31,Yes,13.6,3.47,Chrome,0.85,1,No,2,15001,XYZ123
18,Junin,57.0,6,11,No,Unsatisfied,New,Phone,3427.67,,No,7.5,4.17,Firefox,0.72,0,Yes,3,04001,XYZ123
19,La Libertad,36.0,8,15,No,Neutral,Occasional,Email,1584.51,110.68,No,5.1,2.57,IE,0.8,0,No,1,04001,XYZ123
20,Cusco,37.0,6,9,No,Very Satisfied,New,In-store,2019.57,199.07,Yes,7.7,2.59,Safari,0.94,0,No,4,15001,XYZ123
21,lima,30.0,3,9,Yes,Very Unsatisfied,Occasional,SMS,1991.51,190.24,Yes,8.4,2.11,Firefox,0.23,1,Yes,2,15001,XYZ123
22,Junin,26.0,8,7,Yes,Satisfied,Returning,SMS,2438.28,203.76,Yes,11.6,2.82,Firefox,0.05,1,Yes,3,04001,XYZ123
23,Cusco,43.0,4,13,Yes,Satisfied,New,In-store,2705.37,101.51,Yes,8.5,2.33,Edge,0.29,1,No,3,11001,XYZ123
24,La Libertad,26.0,7,11,No,Very Satisfied,New,Email,988.45,266.15,No,11.0,4.74,Safari,0.4,1,Yes,4,11001,XYZ123
